PlasticType,wavelength1,wavelength2,wavelength3,wavelength4,wavelength5,wavelength6,wavelength7,wavelength8,wavelength9,wavelength10,wavelength11,wavelength12,wavelength13,wavelength14
2,25863,466326,739402,337455,419472,318053,389461,179100,3034.177777777778,-1545.95,820.17,-676.1266666666667,714.08,-2103.61
2,25863,466326,739402,337455,419472,318053,389461,179100,3034.177777777778,-1545.95,820.17,-676.1266666666667,714.08,-2103.61
2,26961,465812,744313,341199,423140,320050,387348,176584,3094.4555555555557,-1550.4384615384615,819.41,-687.2666666666667,672.98,-2107.64
2,28693,484795,784628,359651,443978,332802,401487,181534,3331.4777777777776,-1634.5269230769231,843.27,-741.1733333333333,686.85,-2199.53
2,29117,491218,796445,366537,457434,346541,415332,185546,3391.411111111111,-1653.4923076923078,908.97,-739.2866666666666,687.91,-2297.86
2,28465,477864,766802,346440,441782,345168,418665,182916,3210.4222222222224,-1616.7769230769231,953.42,-644.0933333333334,734.97,-2357.49
2,26596,471167,747378,336738,419228,316423,387375,177702,3069.011111111111,-1579.3846153846155,824.9,-685.3666666666667,709.52,-2096.73
2,26794,471973,747726,336825,419290,316390,387319,177614,3063.9222222222224,-1580.3884615384616,824.65,-686.0,709.29,-2097.05
2,26410,470410,747684,337141,419519,316658,387669,177863,3080.822222222222,-1579.0115384615385,823.78,-685.74,710.11,-2098.06
2,27652,471384,757351,346941,429962,328800,395989,179200,3177.411111111111,-1578.5,830.21,-674.4133333333333,671.89,-2167.89
2,22798,374390,584349,256151,321720,229185,280134,123304,2332.8777777777777,-1262.3,655.69,-616.9,509.49,-1568.3
2,22936,374930,584347,256248,321652,229071,280023,123148,2326.8555555555554,-1261.9192307692308,654.04,-617.2066666666667,509.52,-1568.75
2,23185,373538,583233,258761,322218,230795,269128,122736,2329.9444444444443,-1247.9692307692308,634.57,-609.4866666666667,383.33,-1463.92
2,23454,376860,589946,260808,326944,235172,277604,124454,2367.6222222222223,-1265.9153846153847,661.36,-611.8133333333334,424.32,-1531.5
2,23086,384418,589356,245644,312858,224022,275767,128043,2277.088888888889,-1321.9692307692308,672.14,-592.24,517.45,-1477.24
2,28313,403252,609734,270627,341818,262347,315359,134654,2294.2444444444445,-1304.2576923076922,711.91,-529.8066666666666,530.12,-1807.05
2,28276,408046,623152,278873,349490,267253,318669,139240,2390.0666666666666,-1324.15,706.17,-548.2466666666667,514.16,-1794.29
2,30379,448030,689494,307563,383183,272737,330501,151560,2682.9333333333334,-1468.9653846153847,756.2,-736.3066666666666,577.64,-1789.41
2,30573,448777,689299,307611,382984,272533,330538,151617,2672.4666666666667,-1468.0307692307692,753.73,-736.34,580.05,-1789.21
2,30659,448898,689408,307464,382829,272585,330360,151436,2672.3333333333335,-1469.0153846153846,753.65,-734.96,577.75,-1789.24
5,25843,456908,753197,381459,464465,349047,403808,172368,3292.1,-1429.7615384615385,830.06,-769.4533333333334,547.61,-2314.4
5,26469,461222,747278,371957,443802,335769,392697,177528,3178.4,-1443.5423076923078,718.45,-720.22,569.28,-2151.69
5,28532,492348,787048,378384,463560,344453,408379,185556,3274.4444444444443,-1571.7846153846153,851.76,-794.0466666666666,639.26,-2228.23
5,30443,507764,795202,381942,460597,353222,434889,189813,3193.7555555555555,-1589.4615384615386,786.55,-715.8333333333334,816.67,-2450.76
5,26926,483218,809436,407473,502116,376841,426688,182598,3624.6444444444446,-1546.0115384615385,946.43,-835.1666666666666,498.47,-2440.9
5,29269,488015,755528,370355,455382,377327,448173,185955,2972.366666666667,-1481.4346153846154,850.27,-520.3666666666667,708.46,-2622.18
5,27967,489642,805028,401129,471884,342781,407331,181773,3504.288888888889,-1553.4576923076922,707.55,-860.6866666666666,645.5,-2255.58
5,26267,470138,769368,395112,486164,356187,407120,176058,3324.777777777778,-1439.446153846154,910.52,-866.5133333333333,509.33,-2310.62
5,27813,470775,750361,357631,451944,373255,435223,185214,3106.511111111111,-1510.5,943.13,-524.5933333333334,619.68,-2500.09
5,31076,496804,783111,374713,441344,353603,441840,188028,3181.188888888889,-1570.7615384615385,666.31,-584.94,882.37,-2538.12
5,20179,351348,546984,257599,323137,236589,280834,118978,2173.733333333333,-1113.0192307692307,655.38,-576.9866666666667,442.45,-1618.56
5,22226,371832,583458,273353,335018,246506,299755,125920,2351.4,-1192.7115384615386,616.65,-590.08,532.49,-1738.35
5,22767,385470,602639,281920,343298,249481,297381,129284,2412.988888888889,-1233.5346153846153,613.78,-625.4466666666667,479.0,-1680.97
5,21557,369062,586151,277255,334390,237879,276268,120991,2412.1,-1188.0615384615385,571.35,-643.4066666666666,383.89,-1552.77
5,20541,353166,558964,261767,323386,240050,288029,119722,2286.6444444444446,-1143.0653846153846,616.19,-555.5733333333334,479.79,-1683.07
5,23119,388470,613812,292729,361020,259751,308413,131772,2503.8,-1234.9346153846154,682.91,-675.1266666666667,486.62,-1766.41
5,24652,419020,665645,310803,386308,275517,326806,140998,2740.277777777778,-1364.7769230769231,755.05,-738.6066666666667,512.89,-1858.08
5,21746,368520,586294,274031,335614,239763,294963,122070,2419.711111111111,-1201.0115384615385,615.83,-639.0066666666667,552.0,-1728.93
5,19967,347256,549746,259375,323330,236619,278981,117494,2249.8888888888887,-1116.8115384615385,639.55,-578.0733333333334,423.62,-1614.87
5,22277,364248,568404,260874,320480,246267,300101,123286,2268.4,-1182.8076923076924,596.06,-494.75333333333333,538.34,-1768.15
1,32273,449458,695403,346799,386170,273293,303567,118061,2732.722222222222,-1340.7846153846153,393.71,-752.5133333333333,302.74,-1855.06
1,32261,445724,684684,340645,381329,275585,307786,117212,2655.1111111111113,-1323.2269230769232,406.84,-704.96,322.01,-1905.74
1,33214,446243,696098,353429,395480,276011,298567,115316,2776.1666666666665,-1317.9576923076922,420.51,-796.46,225.56,-1832.51
1,30567,415136,640130,320827,366630,260633,288180,108446,2499.9333333333334,-1228.0884615384616,458.03,-706.6466666666666,275.47,-1797.34
1,32487,439818,667976,332675,373554,264293,294597,111898,2535.088888888889,-1289.6192307692309,408.79,-728.4066666666666,303.04,-1826.99
1,31765,445782,691542,348566,376493,254203,287291,114414,2730.6666666666665,-1319.1384615384616,279.27,-815.2666666666667,330.88,-1728.77
1,30915,433389,661724,323544,364840,252345,284474,111988,2537.0555555555557,-1300.6923076923076,412.96,-749.9666666666667,321.29,-1724.86
1,31283,434358,660584,330681,376564,263691,294087,110498,2513.6222222222223,-1268.8576923076923,458.83,-752.4866666666667,303.96,-1835.89
1,32837,445470,691008,345811,379415,257187,287671,113369,2728.2,-1327.6807692307693,336.04,-814.8533333333334,304.84,-1743.02
1,32572,463266,707958,353852,402226,320735,378407,141865,2718.8,-1361.946153846154,483.74,-543.2733333333333,576.72,-2365.42
1,20999,444208,725234,358783,468108,299302,326567,127862,3122.511111111111,-1409.426923076923,1093.25,-1125.3733333333332,272.65,-1987.05
1,21280,439114,729301,371221,460850,292993,303075,118842,3224.3,-1377.2307692307693,896.29,-1119.0466666666666,100.82,-1842.33
1,20967,432464,747591,372249,483434,314926,315223,126426,3501.411111111111,-1443.623076923077,1111.85,-1123.3866666666668,2.97,-1887.97
1,22476,440309,778711,399153,494453,338188,364752,132199,3760.0222222222224,-1459.8384615384616,953.0,-1041.7666666666667,265.64,-2325.53
1,21629,437480,773603,386529,498650,326562,345593,127266,3734.7,-1488.746153846154,1121.21,-1147.2533333333333,190.31,-2183.27
1,22945,426013,745950,387821,488048,330147,370232,129535,3554.8555555555554,-1377.4192307692308,1002.27,-1052.6733333333334,400.85,-2406.97
1,25697,443699,711982,335699,375938,275218,352303,129525,2980.9222222222224,-1447.2423076923078,402.39,-671.4666666666667,770.85,-2227.78
1,23145,426871,729455,370211,482642,338678,371290,131584,3362.0444444444443,-1381.7076923076922,1124.31,-959.76,326.12,-2397.06
1,20921,436689,748518,373050,489617,312237,311793,128481,3464.766666666667,-1444.1076923076923,1165.67,-1182.5333333333333,-4.44,-1833.12
1,20762,433564,736866,367685,484067,313808,310520,127776,3370.0222222222224,-1419.926923076923,1163.82,-1135.06,-32.88,-1827.44
6,31944,538623,892952,410785,500494,334701,368669,160667,3936.988888888889,-1854.4884615384615,897.09,-1105.2866666666666,339.68,-2080.02
6,31871,539278,892158,410135,499354,333604,367334,160316,3920.8888888888887,-1853.9346153846154,892.19,-1105.0,337.3,-2070.18
6,32109,540156,892069,409711,498624,333117,366607,159684,3910.1444444444446,-1855.2230769230769,889.13,-1103.38,334.9,-2069.23
6,32679,543170,895200,414092,502230,334585,367663,161056,3911.4444444444443,-1850.4153846153847,881.38,-1117.6333333333334,330.78,-2066.07
6,32086,549715,896470,404959,495510,336115,374671,160128,3852.8333333333335,-1890.426923076923,905.51,-1062.6333333333334,385.56,-2145.43
6,32580,549028,894520,404677,494090,333413,371429,159124,3838.8,-1884.0115384615385,894.13,-1071.18,380.16,-2123.05
6,29272,492472,816156,382046,465054,302631,332915,145026,3596.488888888889,-1669.6538461538462,830.08,-1082.82,302.84,-1878.89
6,29023,492302,814820,381455,464162,301451,331635,144816,3583.5333333333333,-1666.7884615384614,827.07,-1084.74,301.84,-1868.19
6,30194,508576,838232,395821,485899,317656,345206,152751,3662.8444444444444,-1701.5807692307692,900.78,-1121.62,275.5,-1924.55
6,28357,473388,779656,364223,449945,301175,336218,142620,3402.9777777777776,-1597.8192307692307,857.22,-991.8,350.43,-1935.98
